id	name	type	P1853	P21	born	died	P2031	url	description
393518	Hiroshi Fuijwara	Q5						https://anilist.co/staff/393518	藤原斉.
393519	Anthony Nguyen	Q5						https://anilist.co/staff/393519	アソソニー・グエソ. Audio Engineer.
393520	Hiroki Muroi	Q5						https://anilist.co/staff/393520	室井央基. Audio Engineer.
393521	Nanaka Hakomori	Q5						https://anilist.co/staff/393521	箱森菜々花.
393522	Hiroshi Urago	Q5						https://anilist.co/staff/393522	浦郷洋. Production Manager.
393523	Ayaka Yoshino	Q5						https://anilist.co/staff/393523	吉野綾香. Production Manager.
393524	Yasuyuki Nakamura	Q5						https://anilist.co/staff/393524	中村康之.
393525	Akihito Yamamoto	Q5						https://anilist.co/staff/393525	山本章人.
393526	Reina Muto	Q5						https://anilist.co/staff/393526	武藤伶奈. Production Manager.
393527	Takeshi Kanda	Q5						https://anilist.co/staff/393527	神田毅. Producer.
393528	Noriyuki Ootsuka	Q5						https://anilist.co/staff/393528	大塚則志.
393529	Keniichi Harada	Q5						https://anilist.co/staff/393529	原田健一. Producer.
393530	Tomoko Sakurai	Q5						https://anilist.co/staff/393530	櫻井智子. Composer.
393531	Ha-Jin Lee	Q5						https://anilist.co/staff/393531	이하진. Mangaka.
393533	Dalgeurinbyeol	Q5						https://anilist.co/staff/393533	달그린별. Artist.
393534	Yu-Ra Lee	Q5						https://anilist.co/staff/393534	이유라. Artist.
393535	Ttalgimoka	Q5						https://anilist.co/staff/393535	딸기모카. Writer.
393536	CHUCHU	Q5						https://anilist.co/staff/393536	Artist.
